Date,COMM,APLE,MUR,BOH,BRKL,ROIC,GPMT,ETRN,EQC,PK,CIM,ARI,UMPQ,TRIP,MATX,WTM,PTEN,ATR,POR,JWN,KMT,ALE,EGP,SFM,HWC,CNO,IDA,ABM,SABR,AIV,ATO,HRI,SITC,IOVA,SLGN,KIM,CENT,PRG,GATX,ABG,HI,NBTB,SWN,AM,AGO,SPB,FUL,WD,XRX,AR,COTY,FCFS,UA,FULT,RRC,FCF,AWR,OFC,BRX,OGS,WH,SR,ISBC,HAIN,UAA,UNF,ASB,TMHC,TCBI,APAM,ESGR,BXMT,SBRA,PCH,TMP,NWE,BKH,AIT,EVTC,NJR,CATY,MRO,FR,HOMB,TEX,DAN,PMT,PEB,ITGR,HTLF,KEX,TGTX,WWW,MAC,CBT,FHI,CENTA,SFNC
2019-01-02,17.06999969482422,12.31374454498291,21.013938903808594,59.680999755859375,12.23693561553955,13.722713470458984,12.616604804992676,13.869139671325684,22.345003128051758,22.0616455078125,11.215129852294922,10.478222846984863,13.267476081848145,48.216522216796875,29.886260986328125,851.4940185546875,9.989986419677734,85.48863220214844,38.766658782958984,43.425697326660156,30.259164810180664,63.21375274658203,80.24068450927734,23.489999771118164,31.42658805847168,13.621573448181152,80.5363540649414,28.959354400634766,20.261215209960938,3.9445137977600098,81.75776672363281,27.004852294921875,9.601140975952148,9.449999809265137,21.768535614013672,12.242117881774902,34.939998626708984,36.6212043762207,64.49456787109375,68.12000274658203,34.470619201660156,31.036231994628906,3.7200000286102295,6.565162181854248,35.773834228515625,39.146541595458984,41.072593688964844,39.71914291381836,16.851083755493164,9.760000228881836,6.579661846160889,67.75725555419922,16.450000762939453,13.301006317138672,9.766891479492188,10.483163833618164,61.399559020996094,17.805057525634766,11.64187240600586,68.53019714355469,42.706825256347656,62.628440856933594,9.170614242553711,16.219999313354492,17.809999465942383,142.10723876953125,17.151525497436523,16.479999542236328,51.61000061035156,14.795063972473145,168.02999877929688,22.302438735961914,11.508336067199707,24.218233108520508,67.55001068115234,49.5105094909668,53.81952667236328,49.80032730102539,28.057331085205078,38.866233825683594,29.481891632080078,13.98141860961914,25.543415069580078,14.816827774047852,26.242111206054688,12.893339157104492,12.439682960510254,26.22610092163086,74.29000091552734,40.979637145996094,67.95999908447266,4.309999942779541,30.174379348754883,32.908199310302734,38.83051300048828,21.820714950561523,31.700000762939453,21.641389846801758
2019-01-03,16.799999237060547,12.365776062011719,21.48537826538086,60.19571304321289,12.263047218322754,13.855087280273438,12.581750869750977,13.869139671325684,22.421110153198242,22.078908920288086,11.259037017822266,10.434564590454102,13.308121681213379,45.38862609863281,29.209766387939453,847.2614135742188,10.244208335876465,84.45532989501953,38.653526306152344,42.9866828918457,28.572080612182617,63.222347259521484,80.32210540771484,23.760000228881836,31.952598571777344,13.503989219665527,80.76002502441406,28.653837203979492,19.78671646118164,3.9789748191833496,82.37652587890625,26.30940818786621,9.756277084350586,8.890000343322754,21.872512817382812,12.216931343078613,36.02000045776367,36.01477813720703,61.99612045288086,67.83999633789062,34.03427505493164,30.92087745666504,3.640000104904175,6.743844985961914,35.28021240234375,40.39071273803711,39.56053161621094,39.269962310791016,16.482755661010742,9.529999732971191,6.428188323974609,66.5124282836914,15.960000038146973,13.097548484802246,9.757084846496582,10.474564552307129,61.333980560302734,18.1435489654541,11.674827575683594,68.87879180908203,41.561466217041016,62.887908935546875,9.335774421691895,16.489999771118164,17.3799991607666,131.1804656982422,16.996774673461914,16.549999237060547,51.84000015258789,14.488357543945312,163.82000732421875,22.302438735961914,11.99531078338623,24.792984008789062,67.15756225585938,49.58730697631836,54.22359085083008,48.47480773925781,26.728252410888672,38.70903396606445,29.464508056640625,13.886434555053711,25.50703239440918,14.772064208984375,25.706554412841797,12.660606384277344,12.452889442443848,26.37655258178711,73.4000015258789,40.44443893432617,66.5999984741211,4.210000038146973,29.55780601501465,33.49199676513672,37.785152435302734,21.42140769958496,32.380001068115234,21.79180335998535
2019-01-04,17.440000534057617,12.669282913208008,22.35841178894043,61.286224365234375,12.524148941040039,14.022759437561035,12.874513626098633,14.375109672546387,22.398277282714844,22.674467086791992,11.346850395202637,10.596726417541504,13.698341369628906,47.949737548828125,30.14573860168457,850.9263305664062,10.790315628051758,86.33233642578125,39.001609802246094,42.95924377441406,30.07872200012207,64.09124755859375,81.96871948242188,23.84000015258789,33.16508483886719,14.082858085632324,81.8962173461914,29.63519287109375,20.308666229248047,3.9929466247558594,83.43204498291016,28.875699996948242,10.066548347473145,9.529999732971191,22.364025115966797,12.443636894226074,36.7599983215332,37.05074691772461,64.85018157958984,68.47000122070312,35.17966842651367,31.64842987060547,3.9000000953674316,7.262602806091309,36.109130859375,42.32009506225586,41.338863372802734,40.5991325378418,17.11896514892578,10.25,6.778472423553467,69.04918670654297,16.600000381469727,13.589237213134766,10.482735633850098,10.964752197265625,60.781253814697266,18.812089920043945,11.922002792358398,69.45978546142578,43.81462478637695,63.81337356567383,9.64001178741455,17.040000915527344,18.1299991607666,132.78761291503906,17.409440994262695,17.389999389648438,53.20000076293945,14.601706504821777,166.6699981689453,22.712566375732422,12.382025718688965,25.785018920898438,69.68186950683594,50.55141067504883,55.15469741821289,50.18305587768555,27.578474044799805,39.53002166748047,30.177217483520508,14.636795043945312,26.00734519958496,15.282368659973145,26.892425537109375,13.805645942687988,12.657574653625488,27.063003540039062,77.26000213623047,41.65324783325195,67.27999877929688,4.610000133514404,30.193058013916016,33.975948333740234,39.50062561035156,21.5794620513916,33.04999923706055,22.34920310974121
2019-01-07,17.8700008392334,12.834044456481934,22.742551803588867,61.76603317260742,12.628586769104004,14.349281311035156,13.069687843322754,14.278070449829102,22.398277282714844,23.062877655029297,11.390756607055664,10.677810668945312,14.03165054321289,49.12358474731445,30.673959732055664,853.3961181640625,11.016289710998535,87.16653442382812,38.66223907470703,44.047630310058594,30.53883934020996,63.64389419555664,82.26728820800781,24.049999237060547,33.03134536743164,14.22757625579834,80.46478271484375,30.99613380432129,20.76418685913086,3.995741367340088,82.82238006591797,29.816022872924805,10.506095886230469,9.520000457763672,22.89335060119629,12.880255699157715,38.15999984741211,37.791927337646484,64.1389389038086,70.66000366210938,34.72515106201172,31.834760665893555,4.070000171661377,7.49892520904541,36.015987396240234,43.050376892089844,40.8443489074707,40.73664093017578,17.487287521362305,10.510000228881836,7.147690773010254,69.14350891113281,17.110000610351562,13.699443817138672,10.914205551147461,10.999151229858398,59.34790802001953,19.142126083374023,12.383390426635742,69.10224914550781,44.72527313232422,63.216575622558594,9.787785530090332,17.440000534057617,18.670000076293945,131.866455078125,17.39224624633789,18.040000915527344,53.119998931884766,14.77506160736084,165.99000549316406,22.93177032470703,12.646997451782227,26.123573303222656,70.62737274169922,50.33810806274414,54.9878044128418,50.911155700683594,28.330970764160156,38.6216926574707,30.255443572998047,14.836260795593262,26.152891159057617,15.604670524597168,26.91155242919922,14.22456169128418,12.644368171691895,27.54258155822754,76.0199966430664,41.819339752197266,68.1500015258789,4.840000152587891,30.35187339782715,34.874698638916016,39.8133544921875,21.65433692932129,34.41999816894531,22.437681198120117
2019-01-08,18.049999237060547,13.163567543029785,23.196523666381836,62.16736602783203,12.759140014648438,14.808174133300781,13.19515609741211,14.368173599243164,22.687484741210938,24.124528884887695,11.346850395202637,10.821263313293457,14.324318885803223,50.839881896972656,31.313385009765625,873.9614868164062,11.110445976257324,88.65487670898438,39.41929244995117,44.83419418334961,31.567325592041016,65.10639190673828,84.5562515258789,24.43000030517578,33.61977005004883,14.489879608154297,83.0682144165039,32.384857177734375,20.944499969482422,4.105647087097168,83.90522766113281,31.344045639038086,10.799129486083984,9.619999885559082,23.46993637084961,13.148942947387695,38.29999923706055,38.23832702636719,65.57052612304688,69.83000183105469,35.470558166503906,31.958982467651367,4.110000133514404,7.689136981964111,36.09049987792969,43.9068717956543,41.51955032348633,41.81830596923828,18.064895629882812,10.470000267028809,7.119289398193359,70.15253448486328,17.239999771118164,13.665534019470215,10.786725997924805,11.042149543762207,60.65946578979492,19.45523452758789,12.828303337097168,70.37150573730469,45.64531707763672,64.31501770019531,9.909479141235352,17.559999465942383,18.8700008392334,135.49237060546875,17.607175827026367,18.290000915527344,53.5099983215332,14.835065841674805,168.47000122070312,23.14390754699707,13.055194854736328,26.249540328979492,70.67198944091797,51.2851448059082,55.901336669921875,52.16199493408203,28.252790451049805,39.85318374633789,30.66394805908203,14.703282356262207,26.94430160522461,15.92696762084961,27.51405143737793,14.56900405883789,12.683984756469727,28.26663589477539,77.86000061035156,42.1607551574707,68.16999816894531,4.809999942779541,30.800289154052734,35.72735595703125,39.992042541503906,21.5794620513916,34.15999984741211,22.56154441833496
2019-01-09,18.3700008392334,13.302316665649414,24.078290939331055,63.03975296020508,12.271751403808594,14.746400833129883,13.278800010681152,14.763249397277832,22.870141983032227,24.31441879272461,11.466026306152344,10.914817810058594,14.50317096710205,51.435699462890625,31.239248275756836,875.2760620117188,11.939024925231934,88.6169662475586,38.97549819946289,45.081138610839844,32.01841354370117,63.51483917236328,84.52005767822266,24.299999237060547,33.905059814453125,14.842629432678223,83.79288482666016,32.32929992675781,21.21021842956543,4.11309814453125,82.5312271118164,32.91124725341797,10.61813735961914,9.449999809265137,23.668441772460938,13.216116905212402,37.90999984741211,39.1058464050293,65.48847198486328,70.58999633789062,35.8250846862793,31.976726531982422,4.369999885559082,7.441285133361816,36.4909782409668,45.84526824951172,42.166202545166016,42.08414077758789,18.32440185546875,10.510000228881836,6.967814922332764,71.41622924804688,17.6200008392334,13.690963745117188,11.375093460083008,11.024951934814453,60.575157165527344,19.506011962890625,12.885976791381836,69.2720718383789,45.40122604370117,63.70092010498047,9.796477317810059,17.899999618530273,19.219999313354492,135.6589813232422,17.589982986450195,18.6299991607666,53.83000183105469,14.821731567382812,169.00999450683594,23.08026123046875,13.126809120178223,26.296777725219727,70.60953521728516,51.268089294433594,54.935089111328125,52.59138488769531,28.19415283203125,38.72649002075195,30.742177963256836,15.263680458068848,26.8806209564209,16.222410202026367,27.82008171081543,14.959994316101074,12.783027648925781,28.62396812438965,78.38999938964844,42.07771301269531,70.11000061035156,4.920000076293945,31.01514434814453,35.6889533996582,40.635345458984375,21.65433692932129,34.08000183105469,22.69426155090332
2019-01-10,18.729999542236328,13.441061019897461,24.078290939331055,62.9699592590332,12.254343032836914,14.746400833129883,13.223036766052246,14.624625205993652,23.20501136779785,24.581985473632812,11.434664726257324,10.815022468566895,14.430005073547363,51.186702728271484,31.100252151489258,871.4119873046875,12.023763656616211,89.65972900390625,39.51500701904297,43.26106262207031,32.43342590332031,64.54718780517578,85.11720275878906,24.139999389648438,33.53952407836914,14.924033164978027,85.31378936767578,32.57926559448242,21.45696258544922,4.209964752197266,84.09632110595703,33.449974060058594,10.661231994628906,9.380000114440918,24.037076950073242,13.266493797302246,38.18000030517578,39.030052185058594,66.0720443725586,68.95999908447266,36.070518493652344,31.852502822875977,4.300000190734863,7.251074314117432,36.397850036621094,46.07066345214844,42.60365676879883,42.68913650512695,18.542049407958984,10.65999984741211,6.806873798370361,72.25553894042969,17.549999237060547,13.665534019470215,11.218195915222168,11.050751686096191,61.27778625488281,19.80219841003418,12.902457237243652,70.13909149169922,45.44816207885742,64.60042572021484,9.83993911743164,17.920000076293945,19.200000762939453,135.07098388671875,17.48681640625,18.479999542236328,53.83000183105469,14.981752395629883,169.50999450683594,23.179258346557617,13.119647979736328,26.863664627075195,70.582763671875,52.198062896728516,56.112144470214844,53.42217254638672,27.75438117980957,39.46014404296875,30.889936447143555,15.529629707336426,27.40822410583496,16.150793075561523,28.40345001220703,15.108942985534668,12.783027648925781,29.056528091430664,79.66999816894531,42.03157424926758,68.69000244140625,4.920000076293945,30.04359245300293,35.32791519165039,41.02847671508789,21.554508209228516,34.52000045776367,22.543855667114258
2019-01-11,18.790000915527344,13.449734687805176,23.388591766357422,63.30146789550781,12.254343032836914,14.781699180603027,13.264863014221191,14.562247276306152,23.395278930664062,24.53883171081543,11.491116523742676,10.8711576461792,14.45439624786377,49.81721496582031,30.859302520751953,877.4471435546875,11.9766845703125,89.80192565917969,39.34096908569336,43.33423614501953,32.5777702331543,64.38373565673828,85.93144989013672,24.040000915527344,33.584102630615234,14.978302001953125,84.32072448730469,31.736785888671875,21.47593879699707,4.23045539855957,83.62313079833984,33.02878952026367,10.704324722290039,9.510000228881836,24.216670989990234,13.325268745422363,38.650001525878906,39.1563835144043,65.81672668457031,69.63999938964844,36.279598236083984,32.00333786010742,4.349999904632568,7.060863494873047,36.453731536865234,45.95346450805664,42.546600341796875,43.486629486083984,18.533681869506836,10.5,6.854208946228027,72.63272857666016,17.860000610351562,13.707918167114258,11.277031898498535,11.067951202392578,61.16535568237305,20.005298614501953,12.993086814880371,69.30783081054688,45.62654113769531,64.21987915039062,9.8486328125,17.809999465942383,19.670000076293945,134.77699279785156,17.529804229736328,18.219999313354492,54.20000076293945,14.78839111328125,169.27999877929688,23.3206844329834,13.055194854736328,26.847909927368164,70.44896697998047,51.762935638427734,55.874977111816406,54.10360336303711,27.627336502075195,39.1806640625,30.959468841552734,15.301673889160156,27.581064224243164,16.186599731445312,28.40345001220703,14.848282814025879,12.81604290008545,28.859052658081055,79.12000274658203,42.15153503417969,68.11000061035156,4.829999923706055,30.174379348754883,34.913108825683594,40.429847717285156,21.047048568725586,35.16999816894531,22.59693717956543
2019-01-14,18.760000228881836,13.406373977661133,23.275100708007812,63.05719757080078,12.193419456481934,14.658149719238281,13.243948936462402,14.513731956481934,23.25828742980957,24.383468627929688,11.528749465942383,10.864920616149902,14.405613899230957,49.586002349853516,30.497888565063477,885.6433715820312,12.023763656616211,89.07199096679688,38.731842041015625,43.24277114868164,31.892105102539062,62.93846893310547,85.0357666015625,23.93000030517578,33.566280364990234,15.150152206420898,82.5135498046875,31.579387664794922,20.55540657043457,4.211827754974365,83.11357116699219,32.80350875854492,10.600900650024414,9.020000457763672,24.084335327148438,13.33366584777832,38.130001068115234,38.878448486328125,65.19667053222656,69.12000274658203,35.997806549072266,31.852502822875977,4.380000114440918,6.939820766448975,36.667945861816406,46.46736526489258,41.77631759643555,43.28496551513672,18.667619705200195,10.760000228881836,6.806873798370361,72.84963989257812,17.8799991607666,13.775737762451172,11.639859199523926,11.059351921081543,60.134849548339844,19.4975528717041,12.918933868408203,68.04752349853516,45.55144119262695,63.986331939697266,9.970328330993652,17.790000915527344,19.709999084472656,134.0909881591797,17.572790145874023,17.90999984741211,54.310001373291016,14.795063972473145,167.0500030517578,23.29947280883789,12.933453559875488,26.422754287719727,70.0654296875,50.986534118652344,54.62765884399414,53.842227935791016,26.689159393310547,38.52561950683594,30.750864028930664,15.035722732543945,27.526485443115234,16.186599731445312,28.355632781982422,15.267199516296387,12.776423454284668,29.00010871887207,77.26000213623047,41.65324783325195,67.47000122070312,4.579999923706055,30.230426788330078,34.613521575927734,40.54599380493164,20.955541610717773,34.70000076293945,22.765043258666992
2019-01-15,18.93000030517578,13.441061019897461,23.54573631286621,62.95250701904297,12.23693561553955,14.852300643920898,13.327594757080078,14.562247276306152,23.243066787719727,24.556095123291016,11.553841590881348,10.927291870117188,14.430005073547363,50.46638870239258,30.525684356689453,882.526123046875,12.014347076416016,89.87776184082031,39.201744079589844,43.2244758605957,31.64852523803711,63.97942352294922,86.35667419433594,24.350000381469727,33.664344787597656,15.186333656311035,83.8465576171875,31.98675537109375,21.16276741027832,4.273299694061279,84.26919555664062,32.627193450927734,10.652613639831543,9.420000076293945,24.245027542114258,13.568769454956055,37.72999954223633,38.71841049194336,64.73163604736328,69.38999938964844,36.188697814941406,31.958982467651367,4.409999847412109,7.020516395568848,36.29540252685547,46.85503005981445,41.12014389038086,43.798301696777344,19.094547271728516,10.9399995803833,6.901544570922852,74.03787231445312,17.920000076293945,13.996150970458984,11.512377738952637,11.136748313903809,60.6688346862793,19.62448501586914,13.042521476745605,69.14693450927734,46.04900360107422,64.48799896240234,10.039868354797363,18.18000030517578,19.739999771118164,134.57115173339844,17.61577606201172,18.15999984741211,54.77000045776367,15.061758041381836,166.58999633789062,23.44089698791504,13.048033714294434,26.847909927368164,70.02082061767578,52.01035690307617,56.015525817871094,54.86904525756836,27.050748825073242,39.17192459106445,31.020301818847656,15.035722732543945,27.817575454711914,16.186599731445312,27.896587371826172,15.43476676940918,12.710396766662598,29.282203674316406,79.33000183105469,41.939300537109375,67.05000305175781,4.619999885559082,30.22108268737793,35.18196105957031,39.992042541503906,21.038734436035156,34.380001068115234,22.773887634277344
